strategy,kind,seed,period,in_sample,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,n_days,avg_daily_turnover,ann_turnover,avg_w_SPY,avg_w_IEF,avg_w_GLD
DQN,rl,0,calm_2023_24,False,0.008365487172921293,0.004476658481349816,0.1103274842177163,0.09549005914155874,0.1548283214520124,-0.1771531470089155,0.02526999128683004,0.011593718578068247,0.014305071346144347,470,0.6857936871808117,172.82000916956454,0.3191844444314926,0.30903809350316536,0.3717774620653421
DQN,rl,1,calm_2023_24,False,0.0636625903824275,0.03364508712643666,0.11422695918167432,0.3466652035349776,0.5480700305966109,-0.13000490455139002,0.25879859873391925,0.010951295160366687,0.015296379924254144,470,0.6850504811156938,172.63272124115483,0.34253593097741664,0.3978071546917201,0.25965691433086324
DQN,rl,2,calm_2023_24,False,0.38727161628359097,0.1918531868399196,0.11306079549082941,1.6091523373135408,2.748486790178372,-0.08108585448118277,2.366050010417564,0.00944389836088556,0.013830071432896834,470,0.5966694105664709,150.36069146275068,0.4180800769314145,0.25584760758520714,0.32607231548337834
DQN,rl,3,calm_2023_24,False,0.11039782122038666,0.05775301315033654,0.11512417442130393,0.5451931437017385,0.8297536907591099,-0.12261013975059643,0.4710296657993623,0.011131747582419412,0.016011915258229786,470,0.7094199044143673,178.77381591242056,0.32713907530189673,0.38718701361742924,0.28567391108067397
DQN,rl,4,calm_2023_24,False,0.02438994361714264,0.013004059018205671,0.11741266859975645,0.1686776094048405,0.24959218181273438,-0.17496750385193716,0.0743227098285068,0.011166506028646,0.01639749390317603,470,0.7645562988499154,192.66818731017867,0.3090592705585444,0.3803123088152236,0.3106284206262322
PPO,rl,0,calm_2023_24,False,0.004048196076571919,0.0021684884004409266,0.1136389268694066,0.07577549264817077,0.11434243274521996,-0.12409167674528587,0.017474889995176938,0.01147298334408493,0.015692503942806,470,0.6928998825362556,174.6107703991364,0.247909376780034,0.318107989374201,0.433982633845765
PPO,rl,1,calm_2023_24,False,0.05001764111727525,0.02651425138971386,0.10632688786290974,0.2991983884719134,0.44776936986668836,-0.1932777441080682,0.13718212364321075,0.010775162076565384,0.014226392280098166,470,0.6825072374756216,171.99182384385665,0.17211884804128572,0.5484807322059729,0.2794004197527414
PPO,rl,2,calm_2023_24,False,0.1696806568706999,0.08766627582709607,0.11120620826808426,0.8112609687972857,1.2653595070246793,-0.1129921205898049,0.7758618509811919,0.011230884405473356,0.014832424564296676,470,0.7767961630638707,195.7526330920954,0.2664249940919329,0.3463813282127306,0.3871936776953366
PPO,rl,3,calm_2023_24,False,0.04251323317385247,0.022574133094872106,0.1161751835471024,0.25017094121628725,0.3711956491973087,-0.11805084262192245,0.19122382012273761,0.012079309978652461,0.015709985944992948,470,0.8902423689073063,224.3410769646412,0.34593617237669394,0.22570683080368167,0.4283569968196244
PPO,rl,4,calm_2023_24,False,0.25334278564446766,0.12870939678184135,0.11247583359219976,1.1327492898561413,1.8736512752229018,-0.12660679947602216,1.0166073016182469,0.010871565432530374,0.014639144353888552,470,0.8043726653594666,202.7019116705856,0.4647210302559407,0.2867043847213236,0.2485745850227357
static_60_30_10,baseline,-1,gfc,False,-0.10864518607473495,-0.05943570585734492,0.20698822979936154,-0.19311809501601326,-0.2742502486023393,-0.31342922890822233,-0.1896303866246908,0.020426607478819192,0.030380021860494915,473,0.010054020800523353,2.533613241731885,0.5996724956157494,0.3002154379532797,0.10011206643097091
equal_weight,baseline,-1,gfc,False,0.07890007304873436,0.04128926534231847,0.14682284347925184,0.3487258150870058,0.5030402428604552,-0.20812035084171077,0.19839129222745583,0.012354858536194125,0.020723890952343556,473,0.009871338812275775,2.4875773806934953,0.3330486651420969,0.3334178607842891,0.33353347407361417
buy_and_hold,baseline,-1,gfc,False,0.07711954445137215,0.04037336955223658,0.13555250168358635,0.35961943795614587,0.5236384806346256,-0.20624465250414814,0.19575474593904715,0.011999964126542412,0.018815661388945915,473,3.6146796150586495e-17,9.108992629947796e-15,0.2573064647008058,0.3496651628645703,0.3930283724346239
inverse_vol,baseline,-1,gfc,False,0.14027005837991635,0.07243746645976845,0.08626831834726106,0.8537201068698682,1.384197389971024,-0.11848699540551832,0.6113537288362602,0.007853438574096674,0.010701401598340344,473,0.012135001440243924,3.058020362941469,0.19427123393836565,0.5913437932931668,0.21438497276846766
random,baseline,-1,gfc,False,0.006843417555182363,0.0036401550595301924,0.20889834344866293,0.12170312743505396,0.16823773912774262,-0.264752527045086,0.013749274086854297,0.019482959406077176,0.030288819989248792,473,0.9982275365693671,251.55333921548052,0.3339003511426005,0.3288034573451724,0.33729619151222695
DQN,rl,0,gfc,False,-0.28026370164793724,-0.16072103413113104,0.30929705005589064,-0.41326857852347365,-0.5578250493529517,-0.43652630286425476,-0.3681817867023467,0.029907816157754417,0.04719744419404694,473,0.7586807318174099,191.1875444179873,0.47458808738681957,0.2520737118514866,0.27333820076169385
DQN,rl,1,gfc,False,0.2643207873258655,0.13309534928208833,0.28871768170969914,0.576006148628686,0.7931122730063448,-0.2543045144519781,0.5233699825144926,0.025263677269065234,0.041759849353971534,473,0.6990790819964616,176.16792866310834,0.3750863997054949,0.3166821710539335,0.3082314292405716
DQN,rl,2,gfc,False,-0.1845040302007459,-0.10296736818944596,0.3004245160374792,-0.2133554400784142,-0.29522815363269794,-0.36304933723402455,-0.28361811365344086,0.027234254349337045,0.04480049046968771,473,0.748918561572526,188.72747751627656,0.39735795892402137,0.3478049962827231,0.2548370447932555
DQN,rl,3,gfc,False,-0.38275103405262256,-0.2266721248466974,0.2712218500975739,-0.813458794129272,-1.148907290518215,-0.43358475713675726,-0.5227861937388233,0.02480704051978836,0.041291084603372705,473,0.7788772199025856,196.2770594154516,0.3706108244052619,0.4154161088439677,0.21397306675077046
DQN,rl,4,gfc,False,-0.20821076354006451,-0.11695613368139368,0.31503879874950963,-0.23994917192753915,-0.3489142417266692,-0.40396762748240345,-0.289518579521544,0.030200478540641184,0.04538020381306888,473,0.7673143608039183,193.36321892258744,0.4825547048513442,0.3139960231540335,0.20344927199462237
PPO,rl,0,gfc,False,-0.1888303920977049,-0.10550593143027442,0.28124958965153746,-0.2575017045062505,-0.3439043382579747,-0.376112728090215,-0.2805167800781461,0.02397363609175413,0.041917090159352376,473,0.7941343973613301,200.12186813505517,0.36148205912327025,0.3597759270520947,0.27874201382463504
